,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome,blackPercentage,americanIndianPercentage,asianPercentage,nativePercentage,otherPercentage,twoOrMorePercentage,hispanicPercentage,whitePercentage,leaving1,leaving2,leaving3,leaving4,leaving5,leaving6,leaving7,leaving8,leaving9,leaving10
0,1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois","Census Tract 102.01, Cook County, Illinois",3016,983,48.9,31731.0,46.7,0.0,3.7,0.0,0.0,2.3,14.8,34.9,2.6,0.0,2.8,7.3,5.1,24.2,6.4,17.4,10.7,23.4
1,1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois","Census Tract 102.02, Cook County, Illinois",1203,511,,27036.0,34.8,0.0,12.5,0.0,21.3,1.0,34.2,19.4,1.8,3.3,0.0,19.8,3.9,7.8,2.7,29.5,3.1,28.0
2,1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois","Census Tract 103, Cook County, Illinois",3122,1205,50.6,34526.0,33.2,0.0,12.2,0.0,4.9,0.0,16.9,37.7,1.4,3.7,2.0,15.4,0.0,5.4,9.0,21.1,9.7,32.4
3,1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois","Census Tract 104, Cook County, Illinois",2566,1125,45.5,30142.0,22.4,0.0,4.0,0.0,0.0,4.9,9.9,59.9,5.1,6.0,1.4,0.0,2.5,19.5,8.4,11.6,4.3,41.2
4,1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois","Census Tract 105.01, Cook County, Illinois",2450,1207,,27371.0,28.7,0.0,11.4,0.0,5.0,1.2,12.5,47.1,1.2,9.3,1.1,7.5,6.6,8.3,4.3,21.4,3.3,37.0
5,1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois","Census Tract 105.02, Cook County, Illinois",1761,765,44.1,29846.0,21.4,1.2,7.6,0.0,2.5,5.5,6.8,58.7,1.2,3.7,0.0,5.0,5.9,20.0,11.4,14.5,7.3,31.1
6,1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois","Census Tract 105.03, Cook County, Illinois",961,443,,30777.0,6.8,0.0,7.2,0.0,0.0,1.6,23.3,61.2,1.8,1.8,0.0,8.1,2.0,14.7,7.2,8.1,11.5,44.7
7,1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois","Census Tract 106, Cook County, Illinois",4029,1784,,31023.0,18.6,0.0,2.7,0.0,4.0,1.5,23.7,55.4,0.0,1.8,0.0,3.2,13.2,12.6,12.3,17.3,1.8,37.7
8,1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois","Census Tract 107.01, Cook County, Illinois",2060,598,,31772.0,16.2,0.0,15.9,0.0,0.0,3.2,19.6,45.2,0.0,3.8,3.5,1.3,10.7,13.0,8.5,12.5,10.5,36.0
9,1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois","Census Tract 107.02, Cook County, Illinois",2939,1493,,24794.0,27.8,0.0,6.2,0.0,8.0,2.1,28.6,35.4,3.2,5.6,2.4,11.9,4.2,11.0,7.0,10.1,5.9,38.7
10,1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois","Census Tract 201, Cook County, Illinois",1718,294,,30458.0,33.0,0.0,12.9,0.0,18.4,4.1,8.5,31.6,4.1,0.0,13.3,5.1,5.4,20.4,4.1,21.8,9.9,16.0
11,1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois","Census Tract 202, Cook County, Illinois",2926,502,,42292.0,41.2,0.0,15.3,0.0,0.0,0.0,0.0,43.4,0.0,0.0,2.2,7.6,9.8,7.0,14.9,11.8,3.4,43.4
12,1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois","Census Tract 203.01, Cook County, Illinois",1880,224,,38534.0,0.0,0.0,15.2,0.0,0.0,11.2,16.1,57.6,0.0,0.0,0.0,15.6,17.0,12.1,37.5,2.7,10.3,4.9
13,1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois","Census Tract 203.02, Cook County, Illinois",2230,377,54.7,46961.0,23.3,0.0,3.7,0.0,0.0,0.0,13.3,59.7,0.0,6.1,7.4,10.6,2.1,38.2,15.6,14.9,2.1,2.9
14,1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois","Census Tract 204, Cook County, Illinois",2253,565,51.3,41486.0,22.5,0.0,1.1,0.0,12.0,5.5,25.0,46.0,7.8,5.7,5.1,14.5,1.6,22.3,1.4,24.1,5.3,12.2
15,1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois","Census Tract 205, Cook County, Illinois",2778,465,,30871.0,29.5,0.0,8.4,0.0,8.2,8.2,29.0,24.9,11.0,0.0,0.0,0.0,0.0,18.3,17.4,18.1,0.0,35.3
16,1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois","Census Tract 206.01, Cook County, Illinois",2469,475,,27638.0,22.7,14.7,45.1,0.0,3.8,0.0,3.8,13.7,0.0,0.0,0.0,10.1,11.6,16.0,6.5,15.2,0.0,40.6
17,1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois","Census Tract 206.02, Cook County, Illinois",1957,485,,26793.0,5.2,0.0,22.5,0.0,16.3,0.0,13.8,49.5,8.0,0.0,6.0,9.5,5.2,6.4,0.0,27.0,0.0,37.9
18,1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois","Census Tract 207.01, Cook County, Illinois",808,101,,39167.0,6.9,0.0,8.9,0.0,0.0,5.0,10.9,75.2,0.0,0.0,0.0,15.8,0.0,13.9,13.9,14.9,4.0,37.6
19,1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois","Census Tract 207.02, Cook County, Illinois",3681,276,,27461.0,0.0,0.0,29.3,0.0,0.0,7.6,39.5,23.6,0.0,0.0,0.0,28.6,8.3,8.0,4.7,15.9,7.6,26.8
20,1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois","Census Tract 208.01, Cook County, Illinois",2832,450,47.5,33162.0,5.1,0.0,34.0,0.0,0.0,0.0,29.6,31.3,0.0,0.0,0.0,6.2,18.7,22.9,8.4,16.2,12.4,15.1
21,1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois","Census Tract 208.02, Cook County, Illinois",3840,691,,26130.0,25.5,0.0,31.7,0.0,4.2,4.3,16.6,21.9,3.8,0.0,0.0,0.0,8.4,8.5,5.4,9.0,0.0,65.0
22,1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois","Census Tract 209.01, Cook County, Illinois",2826,810,,28258.0,29.1,0.0,14.0,0.0,7.3,2.5,36.5,17.9,0.7,6.9,4.3,13.5,3.6,25.4,7.8,10.7,0.9,26.2
